titles,category
박성재 신임 법무부 장관 후보 삼성 포스코 수사  특수통  프로필 ,Politics
임혁백  후보자 상호 비방 단호한 조처  계파 갈등 양상에 경고장,Politics
 민주 미래 희망  품은 민주 새 로고 이재명  퇴행 막고 미래로  종합 ,Politics
서천 상인 목소리는 외면      현장서 직접 피해 상인들과 대화 ,Politics
     갈등 봉합했지만 공천 명품백 김경율 등 숙제 산적,Politics
여 공관위   회 이상 경고시 경선 후보 자격 박탈키로,Politics
이언주  민주당으로 복당하나   이재명 대표 권유인 듯 ,Politics
   서천 화재 현장 찾아  특별재난지역 선포 즉시 검토 ,Politics
국힘 의원들의 속내  한동훈  윤석열보다 더 필요 ,Politics
    불났는데 한동훈 보러 왔나   허은아  정치쇼 의심 ,Politics
 대형마트 의무휴업  족쇄 풀리면 이마트  올 영업익    억 플러스  알파 ,Economic
중국  증시 급락에    조원 투입 검토 항셍      ,Economic
중대재해법 확대적용 눈앞 경제 단체  유예기간 연장 호소,Economic
비트코인  만달러 붕괴    하락장 이제 시작 ,Economic
LG디스플레이   개 분기만에 흑자 전환 지난해  분기 영업익     억,Economic
 삼전 왜 사  도쿄일렉트론 가야지  조선통신사 개미 웃음보 터졌다,Economic
짝퉁  구찌  목걸이는 카드뮴 덩어리 기준치의    배 검출돼 종합 ,Economic
문체부  인천 인스파이어  외국인 카지노  허가,Economic
시몬스 침대  시몬스 맨션 인천부평점 오픈,Economic
거래소  코리아 프리미엄 지수  만든다   투자    ,Economic
 이선균 수사정보 유출  의혹 관련 인천경찰 언론사 압수수색,Social
동료 복수 장례식장 흉기 난투극  부산 조폭 무더기 징역형,Social
 단독     경찰 인사 청탁 의혹  현직 치안감 구속영장 청구,Social
 아기울음소리  사라지는 서울  저출생정책 소득기준 없애자 ,Social
연이은 사망사고에 부산시  산업재해 예방 긴급 현장점검 회의,Social
 안전운전만 할꺼다  올림픽대로서 시속   km로  길막 하던 유튜버,Social
대구시의회 임시회  달빛철도특별법 촉구 ,Social
행복청  국내 최초 국립도시건축박물관 건립공사 착공,Social
벌써 올해 네살 판다 푸바오   월 초 중국 귀환,Social
 엉덩이 움켜쥐었다  헬스장 성추행 논란  다른 트레이너 판단은,Social
JW신약  포트폴리오 확대로 국내 클리닉 시장 선도,Culture
북극발  냉동고 한파  내일도 호남 제주 폭설 주의,Culture
 내일 최저    도  당분간 강추위 충남 서해안 전라 제주 눈,Culture
 북극 한파 에 폭설 강풍 이 시각 기상센터,Culture
K웹툰판  넷플릭스  만든다 유인촌    종주국  정부가 주도  종합 ,Culture
하이브  엔터업계 첫 사내병원 설립  연습생도 이용가능,Culture
한국계 셀린 송  패스트 라이브즈  오스카 작품상 등  개 후보,Culture
에너지 음료 마시면 수면 질 떨어지고 수면 장애 위험 증가,Culture
  백악관   북러 밀착  우려    동향 매우 긴밀히 주시 ,World
  언론들  뉴햄프셔 공화당 경선도 트럼프 승리 ,World
 MS 빙 엣지  EU의 빅테크규제법 적용 제외될 수도 ,World
미 영  예멘 후티반군 시설 대규모 공습 이달 들어 두번째,World
올해 미스 일본은 우크라이나 출신  겉은 외국인  알맹이는 일본인 ,World
하마스 공격에 이스라엘 병사   명 몰살 이  아군 폭발물 터져 ,World
 북한  김정은 지시로  조국통일  대헌장 기념탑  철거  NK뉴스,World
크렘린궁  푸틴   월 러 대선 뒤 방북할 듯 ,World
일본 군마현   강제동원  조선인 추도비   일부터 철거 통보,World
 신장서 규모    강진으로  명 부상  주택    채 파손  종합 ,World
삼성SDS  올해 사이버 보안 최대 화두는 AI 악용한 위협 ,IT
LG U   AI 탑재 고객의견 분석 시스템 전직원에게 오픈,IT
SK텔레콤  갤럭시S   예약 판매량  전작 상회 ,IT
네이버  생성형 AI 광고  CLOVA for AD  테스트 브랜드 특화된 답변 제공,IT
KAIST 이브자리  슬립테크 공동 진출 AI 수면연구 박차,IT
   게임 규제 브레이크  고강도 BM규제 초안 사라져,IT
 전국민 AI 일상화 위해  과기정통부  산업 분야별 릴레이 현장 소통 추진,IT
KT  IPTV 최초  실시간 버스 정보  안내  실외 대기 최소화 ,IT
